Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login regis,Chrome 75.0.3770.142,,2019-07-25 11:14:32,2019-07-25 11:18:36,4m - 3.682s,FAILED
,,,,,,
Test Cases/login regis/regis - normal regis,Chrome 75.0.3770.142,,2019-07-25 11:14:37,2019-07-25 11:14:52,15.068s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,2019-07-25 11:14:37,2019-07-25 11:14:37,0.001s,NOT_RUN
maximizeWindow(),Chrome 75.0.3770.142,,2019-07-25 11:14:37,2019-07-25 11:14:37,0.001s,NOT_RUN
"navigateToUrl(target + ""sehatq.com/"")",Chrome 75.0.3770.142,,2019-07-25 11:14:37,2019-07-25 11:14:40,2.615s,PASSED
waitForPageLoad(5),Chrome 75.0.3770.142,,2019-07-25 11:14:40,2019-07-25 11:14:42,1.644s,PASSED
rng = Math.random() * 100000000,Chrome 75.0.3770.142,,2019-07-25 11:14:42,2019-07-25 11:14:42,0.013s,PASSED
"randomemail = ""test@"" + rng + "".com""",Chrome 75.0.3770.142,,2019-07-25 11:14:42,2019-07-25 11:14:42,0.002s,PASSED
"click(findTestObject(""Object Repository/login regis/regis/button_Login  Daftar Baru""))",Chrome 75.0.3770.142,,2019-07-25 11:14:42,2019-07-25 11:14:42,0.251s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/login regis/regis/input_Alamat E-Mail_email""), 5)",Chrome 75.0.3770.142,,2019-07-25 11:14:42,2019-07-25 11:14:43,0.625s,PASSED
"click(findTestObject(""Object Repository/login regis/regis/button_Daftar""))",Chrome 75.0.3770.142,,2019-07-25 11:14:43,2019-07-25 11:14:43,0.087s,PASSED
"waitForElementVisible(findTestObject(""login regis/regis/input_Nama_name""), 5)",Chrome 75.0.3770.142,,2019-07-25 11:14:43,2019-07-25 11:14:44,1.684s,PASSED
"setText(findTestObject(""Object Repository/login regis/regis/input_Nama_name""), ""Automated registration test"")",Chrome 75.0.3770.142,,2019-07-25 11:14:44,2019-07-25 11:14:45,0.424s,PASSED
"setText(findTestObject(""Object Repository/login regis/regis/input_Email_email""), randomemail)",Chrome 75.0.3770.142,,2019-07-25 11:14:45,2019-07-25 11:14:45,0.305s,PASSED
